post_id,platform,post_type,post_time,likes,comments,shares,post_day,sentiment_score,hashtags
39,Facebook,video,1/1/2023 6:00,5000,430,980,Sunday,neutral,No
40,Instagram,carousel,8/4/2023 12:45,447,333,845,Friday,negative,Yes
41,Twitter,carousel,12/27/2023 11:30,667,176,461,Wednesday,positive,Yes
42,Instagram,video,11/23/2023 2:00,4929,252,730,Thursday,negative,Yes
43,Twitter,carousel,3/31/2023 16:00,2586,97,85,Friday,positive,Yes
44,Instagram,text,7/6/2023 8:00,3259,50,177,Thursday,negative,No
45,Twitter,video,12/1/2023 10:00,2236,132,118,Friday,positive,Yes
46,Instagram,text,5/16/2023 22:15,2251,380,427,Tuesday,positive,No
47,Facebook,poll,8/8/2023 17:45,4726,44,993,Tuesday,negative,Yes
48,Facebook,video,3/22/2023 3:15,5000,232,16,Wednesday,negative,Yes
49,Twitter,image,4/17/2023 15:00,725,169,298,Monday,neutral,Yes
50,Instagram,text,7/12/2023 0:00,1551,206,127,Wednesday,negative,Yes
51,Twitter,text,2/14/2023 18:00,1268,73,251,Tuesday,positive,No
52,Twitter,image,7/14/2023 15:00,950,113,327,Friday,positive,No
53,Twitter,video,11/12/2023 17:30,1498,46,96,Sunday,positive,No
54,Instagram,image,1/21/2023 1:00,4297,360,825,Saturday,negative,No
55,Twitter,carousel,10/2/2023 23:30,592,34,496,Monday,neutral,Yes
56,Instagram,image,3/13/2023 23:15,3401,190,230,Monday,negative,No
57,Instagram,video,7/13/2023 9:15,4846,134,498,Thursday,neutral,Yes
58,Facebook,video,12/27/2023 4:00,2204,116,728,Wednesday,neutral,Yes
59,Twitter,video,12/24/2023 7:45,344,99,194,Sunday,neutral,Yes
60,Instagram,carousel,5/19/2023 4:30,4763,332,956,Friday,positive,Yes
61,Instagram,video,12/31/2023 22:30,3544,167,761,Sunday,negative,Yes
62,Facebook,carousel,1/27/2023 15:45,3742,227,849,Friday,negative,Yes
63,Twitter,image,5/15/2023 6:30,227,163,127,Monday,neutral,No
64,Instagram,carousel,4/19/2023 19:45,130,452,724,Wednesday,neutral,Yes
65,Instagram,image,9/20/2023 6:00,3982,314,326,Wednesday,positive,Yes
66,Facebook,text,1/3/2023 3:00,2265,39,318,Tuesday,positive,Yes
67,Facebook,carousel,4/23/2023 8:15,2026,390,165,Sunday,negative,Yes
68,Instagram,video,12/28/2023 16:45,560,486,677,Thursday,negative,No
69,Twitter,image,10/14/2023 18:45,187,89,284,Saturday,neutral,Yes
70,Facebook,text,6/12/2023 9:30,3094,86,965,Monday,negative,No
71,Instagram,video,4/10/2023 0:00,3398,261,630,Monday,neutral,No
72,Facebook,carousel,5/5/2023 16:45,1690,257,656,Friday,neutral,Yes
73,Facebook,text,7/18/2023 22:00,3026,11,761,Tuesday,positive,Yes
74,Instagram,video,4/14/2023 10:30,5000,454,744,Friday,positive,No
75,Facebook,video,7/26/2023 20:15,5000,500,404,Wednesday,positive,No
76,Instagram,text,7/27/2023 19:15,2153,81,114,Thursday,neutral,No
77,Twitter,carousel,7/5/2023 18:15,3571,102,96,Wednesday,positive,No
78,Instagram,poll,1/19/2023 7:15,2990,30,365,Thursday,positive,Yes
79,Instagram,carousel,12/13/2023 4:45,4678,189,785,Wednesday,positive,Yes
80,Facebook,text,6/25/2023 15:15,553,320,312,Sunday,positive,Yes
81,Facebook,video,1/4/2023 18:30,2642,33,413,Wednesday,neutral,No
82,Instagram,carousel,11/19/2023 12:30,4656,314,757,Sunday,negative,Yes
83,Instagram,video,12/6/2023 4:00,5000,173,792,Wednesday,negative,Yes
84,Facebook,carousel,10/3/2023 19:00,1203,263,417,Tuesday,negative,Yes
85,Facebook,text,7/6/2023 7:00,2566,368,304,Thursday,neutral,Yes
86,Twitter,text,11/25/2023 7:30,2416,50,62,Saturday,positive,Yes
87,Instagram,text,5/23/2023 22:30,15,70,454,Tuesday,neutral,No
88,Facebook,text,5/3/2023 12:30,3404,244,67,Wednesday,positive,Yes
89,Twitter,carousel,5/3/2023 8:00,2884,197,339,Wednesday,positive,No
90,Instagram,poll,3/19/2023 4:00,3195,109,243,Sunday,negative,Yes
91,Facebook,carousel,9/15/2023 0:45,3956,402,462,Friday,negative,Yes
92,Facebook,video,2/23/2023 17:15,1857,216,344,Thursday,positive,No
93,Instagram,carousel,5/7/2023 0:30,951,432,734,Sunday,negative,No
94,Facebook,image,11/27/2023 4:30,1694,207,290,Monday,positive,Yes
95,Instagram,poll,3/7/2023 19:15,3005,124,517,Tuesday,positive,No
96,Instagram,carousel,7/12/2023 17:45,36,294,911,Wednesday,positive,Yes
97,Twitter,video,10/27/2023 23:45,314,108,458,Friday,neutral,Yes
98,Twitter,text,8/5/2023 8:45,229,179,38,Saturday,positive,Yes
99,Instagram,poll,12/29/2023 12:15,5000,500,204,Friday,positive,Yes
100,Instagram,image,6/6/2023 21:00,4483,357,25,Tuesday,neutral,Yes
101,Twitter,image,7/14/2023 15:00,151,103,269,Friday,positive,Yes
102,Instagram,carousel,5/7/2023 0:30,978,397,799,Sunday,negative,Yes
103,Facebook,carousel,1/9/2023 20:00,542,363,50,Monday,positive,Yes
104,Facebook,carousel,5/5/2023 16:45,1945,260,709,Friday,neutral,Yes
105,Instagram,video,12/31/2023 22:30,3459,138,800,Sunday,negative,No
106,Twitter,poll,5/2/2023 6:15,107,76,49,Tuesday,neutral,Yes
107,Instagram,video,12/6/2023 4:00,4519,153,627,Wednesday,negative,Yes
108,Instagram,text,5/23/2023 22:30,391,121,504,Tuesday,neutral,No
109,Facebook,video,7/26/2023 20:15,5658,504,304,Wednesday,positive,Yes
110,Facebook,video,7/26/2023 20:15,5633,492,537,Wednesday,positive,Yes
111,Facebook,text,5/3/2023 12:30,3251,314,247,Wednesday,positive,Yes
112,Instagram,image,6/6/2023 21:00,5084,339,61,Tuesday,neutral,Yes
113,Instagram,carousel,1/1/2023 20:00,4915,46,390,Sunday,positive,No
114,Instagram,poll,2/21/2023 16:15,4795,424,669,Tuesday,negative,No
115,Twitter,carousel,1/30/2023 13:30,1988,61,293,Monday,positive,Yes
116,Twitter,video,11/12/2023 17:30,1637,21,71,Sunday,positive,No
117,Facebook,carousel,5/14/2023 0:45,3387,398,654,Sunday,neutral,No
118,Facebook,text,5/3/2023 12:30,3414,304,12,Wednesday,positive,Yes
119,Facebook,carousel,2/3/2023 0:30,4979,197,772,Friday,positive,No
120,Twitter,poll,5/2/2023 0:30,2526,126,456,Tuesday,positive,Yes
121,Facebook,carousel,5/14/2023 0:45,3680,440,760,Sunday,neutral,No
122,Instagram,carousel,4/19/2023 19:45,372,489,686,Wednesday,neutral,No
123,Instagram,carousel,5/19/2023 4:30,5089,324,1007,Friday,positive,Yes
124,Twitter,poll,5/2/2023 6:15,528,158,55,Tuesday,neutral,Yes
125,Twitter,video,9/27/2023 19:00,113,103,290,Wednesday,positive,Yes
126,Instagram,text,7/27/2023 19:15,2245,107,107,Thursday,neutral,Yes
127,Facebook,video,12/27/2023 4:00,1423,76,879,Wednesday,neutral,No
128,Twitter,carousel,1/30/2023 13:30,1857,56,231,Monday,positive,No
129,Twitter,carousel,5/3/2023 8:00,1673,228,392,Wednesday,positive,Yes
130,Twitter,image,4/17/2023 15:00,95,173,370,Monday,neutral,Yes
131,Facebook,carousel,9/15/2023 0:45,3061,350,354,Friday,negative,Yes
132,Twitter,video,12/24/2023 7:45,856,49,349,Sunday,neutral,Yes
133,Instagram,video,11/23/2023 2:00,4935,318,731,Thursday,negative,Yes
134,Facebook,video,2/23/2023 17:15,1238,184,333,Thursday,positive,Yes
135,Instagram,carousel,5/19/2023 4:30,5003,363,987,Friday,positive,No
136,Facebook,text,6/25/2023 15:15,1037,324,387,Sunday,positive,Yes
137,Facebook,carousel,1/9/2023 20:00,1138,272,273,Monday,positive,Yes
138,Facebook,carousel,1/27/2023 15:45,3649,204,857,Friday,negative,No
139,Facebook,carousel,1/27/2023 15:45,3855,297,920,Friday,negative,Yes
140,Facebook,poll,8/8/2023 17:45,5167,189,1075,Tuesday,negative,No
141,Facebook,carousel,1/27/2023 15:45,3512,213,877,Friday,negative,No
142,Twitter,text,2/14/2023 18:00,1282,56,119,Tuesday,positive,Yes
143,Twitter,carousel,10/2/2023 23:30,466,34,409,Monday,neutral,Yes
144,Instagram,carousel,4/19/2023 19:45,660,383,816,Wednesday,neutral,Yes
145,Instagram,poll,2/21/2023 16:15,5403,372,664,Tuesday,negative,Yes
146,Twitter,text,2/14/2023 18:00,2275,54,200,Tuesday,positive,Yes
147,Instagram,image,2/26/2023 11:45,1554,28,943,Sunday,positive,Yes
148,Twitter,poll,5/2/2023 6:15,1030,164,81,Tuesday,neutral,Yes
149,Facebook,text,7/18/2023 22:00,2613,20,742,Tuesday,positive,Yes
150,Facebook,video,1/1/2023 6:00,5065,459,1043,Sunday,neutral,Yes
151,Twitter,text,7/23/2023 5:45,1250,97,230,Sunday,neutral,No
152,Twitter,image,11/16/2023 0:45,928,87,39,Thursday,negative,Yes
153,Twitter,carousel,5/3/2023 8:00,2876,181,466,Wednesday,positive,Yes
154,Instagram,carousel,5/19/2023 4:30,3880,279,860,Friday,positive,Yes
155,Twitter,text,9/30/2023 10:30,1007,61,2,Saturday,positive,No
156,Facebook,video,5/2/2023 6:15,616,221,193,Tuesday,neutral,Yes
157,Instagram,poll,3/19/2023 4:00,3405,5,240,Sunday,negative,No
158,Twitter,video,11/12/2023 17:30,1905,1,55,Sunday,positive,No
159,Facebook,carousel,5/14/2023 0:45,3551,454,674,Sunday,neutral,Yes
160,Facebook,carousel,10/3/2023 19:00,1343,270,295,Tuesday,negative,No
161,Facebook,video,2/23/2023 17:15,1697,216,404,Thursday,positive,Yes
162,Instagram,carousel,5/19/2023 4:30,5125,381,825,Friday,positive,Yes
163,Instagram,video,4/10/2023 0:00,3461,230,631,Monday,neutral,Yes
164,Instagram,text,7/6/2023 8:00,2286,78,196,Thursday,negative,Yes
165,Instagram,text,10/28/2023 19:30,1734,11,271,Saturday,neutral,Yes
166,Facebook,poll,8/8/2023 17:45,4535,55,1012,Tuesday,negative,No
167,Instagram,image,6/6/2023 19:30,686,207,759,Tuesday,negative,Yes
168,Instagram,poll,1/19/2023 7:15,2775,38,329,Thursday,positive,Yes
169,Facebook,video,1/4/2023 18:30,1710,16,353,Wednesday,neutral,Yes
170,Facebook,video,4/8/2023 19:15,4387,513,90,Saturday,positive,Yes
171,Instagram,text,7/12/2023 0:00,1621,222,164,Wednesday,negative,No
172,Twitter,image,11/16/2023 0:45,1294,30,122,Thursday,negative,Yes
173,Facebook,carousel,5/14/2023 0:45,3810,467,706,Sunday,neutral,Yes
174,Instagram,carousel,5/5/2023 20:00,257,134,201,Friday,neutral,Yes
175,Instagram,image,1/21/2023 1:00,3957,323,728,Saturday,negative,Yes
176,Twitter,image,11/16/2023 0:45,1156,100,84,Thursday,negative,Yes
177,Instagram,image,1/21/2023 1:00,4082,384,796,Saturday,negative,No
178,Instagram,carousel,5/7/2023 0:30,154,441,622,Sunday,negative,Yes
179,Twitter,image,5/15/2023 6:30,151,176,211,Monday,neutral,No
180,Twitter,text,7/23/2023 5:45,947,75,452,Sunday,neutral,Yes
181,Instagram,poll,3/19/2023 4:00,3972,87,309,Sunday,negative,Yes
182,Instagram,text,7/6/2023 8:00,3577,35,206,Thursday,negative,Yes
183,Twitter,poll,2/9/2023 15:30,3009,123,33,Thursday,positive,No
184,Instagram,video,4/14/2023 10:30,5041,398,654,Friday,positive,No
185,Facebook,carousel,1/27/2023 15:45,4595,227,919,Friday,negative,Yes
186,Instagram,image,6/6/2023 21:00,5489,455,141,Tuesday,neutral,No
187,Twitter,text,9/30/2023 10:30,483,175,94,Saturday,positive,No
188,Instagram,poll,3/7/2023 19:15,3113,30,513,Tuesday,positive,Yes
189,Facebook,video,3/22/2023 3:15,5042,168,52,Wednesday,negative,Yes
190,Facebook,carousel,1/9/2023 20:00,681,259,233,Monday,positive,Yes
191,Facebook,carousel,5/5/2023 16:45,1930,183,548,Friday,neutral,Yes
192,Instagram,poll,1/19/2023 7:15,3010,18,340,Thursday,positive,No
193,Instagram,text,5/23/2023 22:30,345,79,490,Tuesday,neutral,No
194,Facebook,carousel,1/27/2023 15:45,3728,173,876,Friday,negative,Yes
195,Instagram,carousel,8/4/2023 12:45,1036,323,866,Friday,negative,Yes
196,Facebook,text,7/6/2023 7:00,2655,377,96,Thursday,neutral,Yes
197,Facebook,text,6/25/2023 15:15,860,349,316,Sunday,positive,No
198,Instagram,carousel,11/19/2023 12:30,4520,320,809,Sunday,negative,No
199,Twitter,video,11/12/2023 17:30,1719,59,95,Sunday,positive,No
200,Instagram,carousel,1/1/2023 20:00,4407,78,495,Sunday,positive,No
201,Facebook,carousel,10/5/2023 6:30,1747,27,506,Thursday,negative,Yes
202,Twitter,carousel,5/3/2023 8:00,2833,163,372,Wednesday,positive,Yes
203,Instagram,carousel,5/19/2023 4:30,4137,276,870,Friday,positive,Yes
204,Twitter,carousel,12/27/2023 11:30,260,238,510,Wednesday,positive,No
205,Facebook,image,1/7/2023 10:30,701,91,798,Saturday,negative,Yes
206,Facebook,carousel,1/9/2023 20:00,952,353,201,Monday,positive,Yes
207,Twitter,video,12/1/2023 10:00,2630,71,3,Friday,positive,Yes
208,Instagram,image,9/20/2023 6:00,3687,345,287,Wednesday,positive,No
209,Twitter,carousel,5/3/2023 8:00,2912,237,253,Wednesday,positive,Yes
210,Instagram,video,4/10/2023 0:00,3068,308,681,Monday,neutral,Yes
211,Facebook,video,5/2/2023 6:15,662,205,179,Tuesday,neutral,Yes
212,Facebook,text,5/3/2023 12:30,3987,250,128,Wednesday,positive,No
213,Facebook,image,8/17/2023 14:45,2357,448,494,Thursday,positive,No
214,Instagram,text,10/28/2023 19:30,1793,8,145,Saturday,neutral,Yes
215,Facebook,text,5/3/2023 12:30,3419,245,1,Wednesday,positive,No
216,Twitter,image,5/15/2023 6:30,621,196,150,Monday,neutral,Yes
217,Twitter,text,12/8/2023 2:15,1482,19,124,Friday,negative,Yes
218,Facebook,video,1/4/2023 18:30,2140,46,389,Wednesday,neutral,No
219,Instagram,text,10/28/2023 19:30,1394,7,184,Saturday,neutral,Yes
220,Instagram,image,6/6/2023 19:30,821,157,882,Tuesday,negative,No
221,Instagram,image,6/6/2023 19:30,2454,187,856,Tuesday,negative,No
222,Twitter,video,9/27/2023 19:00,44,135,158,Wednesday,positive,Yes
223,Twitter,video,5/23/2023 0:30,3814,274,93,Tuesday,positive,Yes
224,Twitter,carousel,12/27/2023 11:30,660,123,395,Wednesday,positive,Yes
225,Facebook,poll,3/1/2023 8:00,1478,589,280,Wednesday,neutral,Yes
226,Instagram,image,2/26/2023 11:45,1052,44,803,Sunday,positive,Yes
227,Facebook,text,7/18/2023 22:00,3392,20,698,Tuesday,positive,No
228,Facebook,carousel,5/5/2023 16:45,2448,245,725,Friday,neutral,Yes
229,Twitter,video,6/15/2023 3:15,55,14,19,Thursday,positive,No
230,Twitter,poll,2/9/2023 15:30,1441,154,129,Thursday,positive,Yes
231,Twitter,video,9/27/2023 19:00,40,174,190,Wednesday,positive,No
232,Facebook,video,3/22/2023 3:15,4541,266,7,Wednesday,negative,Yes
233,Twitter,text,10/2/2023 12:15,13,99,318,Monday,positive,Yes
234,Facebook,carousel,1/27/2023 15:45,4040,240,792,Friday,negative,Yes
235,Facebook,text,5/3/2023 12:30,3379,188,46,Wednesday,positive,Yes
236,Facebook,video,5/11/2023 0:30,3838,51,101,Thursday,neutral,No
237,Instagram,poll,12/29/2023 12:15,5288,516,129,Friday,positive,Yes
238,Instagram,text,7/6/2023 8:00,3585,45,262,Thursday,negative,Yes
239,Twitter,text,11/25/2023 7:30,2250,53,46,Saturday,positive,Yes
240,Facebook,carousel,9/15/2023 0:45,4023,394,545,Friday,negative,Yes
241,Instagram,image,6/6/2023 19:30,1563,253,874,Tuesday,negative,No
242,Instagram,image,9/20/2023 6:00,4190,320,218,Wednesday,positive,No
243,Instagram,poll,12/29/2023 12:15,5019,519,37,Friday,positive,No
244,Facebook,poll,8/8/2023 17:45,5427,32,1083,Tuesday,negative,Yes
245,Instagram,poll,1/19/2023 7:15,3275,56,287,Thursday,positive,Yes
246,Instagram,poll,2/21/2023 16:15,4734,431,679,Tuesday,negative,No
247,Facebook,image,8/17/2023 14:45,1903,419,576,Thursday,positive,Yes
248,Twitter,video,5/23/2023 0:30,3225,259,400,Tuesday,positive,No
249,Instagram,poll,3/19/2023 4:00,3504,158,236,Sunday,negative,No
250,Twitter,text,9/30/2023 10:30,1027,184,5,Saturday,positive,No
251,Instagram,text,10/6/2023 10:00,2952,163,114,Friday,positive,Yes
252,Facebook,video,5/2/2023 6:15,835,262,316,Tuesday,neutral,Yes
253,Instagram,carousel,12/13/2023 4:45,4771,227,710,Wednesday,positive,No
254,Facebook,carousel,1/9/2023 20:00,1476,266,129,Monday,positive,Yes
255,Instagram,poll,3/19/2023 4:00,3585,128,305,Sunday,negative,Yes
256,Instagram,video,11/23/2023 2:00,4352,169,646,Thursday,negative,Yes
257,Twitter,carousel,7/5/2023 18:15,3520,137,48,Wednesday,positive,No
258,Twitter,text,2/14/2023 18:00,1752,56,170,Tuesday,positive,No
259,Twitter,image,5/15/2023 6:30,371,159,145,Monday,neutral,Yes
260,Instagram,carousel,7/12/2023 17:45,241,270,943,Wednesday,positive,Yes
261,Twitter,image,7/14/2023 15:00,930,111,356,Friday,positive,Yes
262,Instagram,carousel,7/12/2023 17:45,823,304,819,Wednesday,positive,No
263,Twitter,image,11/16/2023 0:45,1241,121,259,Thursday,negative,Yes
264,Facebook,image,11/27/2023 4:30,1283,261,348,Monday,positive,Yes
265,Twitter,text,10/2/2023 12:15,239,111,384,Monday,positive,No
266,Facebook,carousel,1/9/2023 20:00,893,244,167,Monday,positive,No
267,Twitter,carousel,3/31/2023 16:00,1640,151,29,Friday,positive,No
268,Facebook,image,1/7/2023 10:30,217,91,754,Saturday,negative,No
269,Facebook,video,4/8/2023 19:15,6249,482,89,Saturday,positive,Yes
270,Facebook,carousel,11/11/2023 15:45,363,57,285,Saturday,negative,Yes
271,Instagram,image,7/1/2023 14:45,4233,202,329,Saturday,positive,No
272,Instagram,video,4/10/2023 0:00,4085,208,615,Monday,neutral,No
273,Twitter,video,12/24/2023 7:45,141,44,272,Sunday,neutral,No
274,Twitter,text,11/25/2023 7:30,2144,49,46,Saturday,positive,No
275,Facebook,poll,3/1/2023 8:00,1520,466,402,Wednesday,neutral,Yes
276,Facebook,text,1/3/2023 3:00,2390,95,207,Tuesday,positive,Yes
277,Instagram,video,11/23/2023 2:00,5599,229,740,Thursday,negative,No
278,Twitter,video,12/1/2023 10:00,1746,89,154,Friday,positive,Yes
279,Facebook,carousel,1/27/2023 15:45,2732,296,890,Friday,negative,No
280,Instagram,video,7/13/2023 9:15,5380,153,432,Thursday,neutral,No
281,Instagram,carousel,5/5/2023 20:00,1017,299,53,Friday,neutral,No
282,Facebook,poll,3/1/2023 8:00,1105,419,412,Wednesday,neutral,Yes
283,Facebook,poll,3/1/2023 8:00,2308,508,351,Wednesday,neutral,Yes
284,Instagram,text,7/6/2023 8:00,3369,70,140,Thursday,negative,Yes
285,Facebook,carousel,10/3/2023 19:00,817,264,335,Tuesday,negative,Yes
286,Facebook,carousel,2/3/2023 0:30,3911,200,731,Friday,positive,Yes
287,Facebook,carousel,1/27/2023 15:45,4227,278,846,Friday,negative,Yes
288,Facebook,video,7/26/2023 20:15,5087,519,491,Wednesday,positive,Yes
289,Facebook,video,2/23/2023 17:15,1981,145,169,Thursday,positive,Yes
290,Twitter,carousel,5/3/2023 8:00,2579,160,223,Wednesday,positive,Yes
291,Facebook,carousel,1/27/2023 15:45,3349,178,885,Friday,negative,Yes
292,Twitter,video,10/27/2023 23:45,888,102,267,Friday,neutral,Yes
293,Facebook,image,8/17/2023 14:45,2009,513,563,Thursday,positive,No
294,Instagram,text,10/6/2023 10:00,3865,146,336,Friday,positive,Yes
295,Facebook,carousel,1/27/2023 15:45,3305,216,822,Friday,negative,Yes
296,Twitter,carousel,7/5/2023 18:15,2825,61,153,Wednesday,positive,Yes
297,Instagram,poll,2/21/2023 16:15,5168,439,542,Tuesday,negative,No
298,Facebook,text,6/12/2023 9:30,3397,137,1022,Monday,negative,Yes
299,Facebook,carousel,5/5/2023 16:45,1403,255,621,Friday,neutral,Yes
300,Instagram,text,10/6/2023 10:00,2990,227,159,Friday,positive,Yes
301,Facebook,video,5/2/2023 6:15,446,226,265,Tuesday,neutral,Yes
302,Facebook,carousel,1/27/2023 15:45,3665,168,802,Friday,negative,Yes
303,Facebook,video,5/11/2023 0:30,4734,92,121,Thursday,neutral,Yes
304,Twitter,video,10/27/2023 23:45,1507,104,360,Friday,neutral,Yes
305,Twitter,text,2/14/2023 18:00,430,48,253,Tuesday,positive,No
306,Instagram,text,7/6/2023 8:00,3861,53,218,Thursday,negative,No
307,Instagram,carousel,1/1/2023 20:00,5051,14,350,Sunday,positive,Yes
308,Instagram,carousel,12/13/2023 4:45,5357,116,700,Wednesday,positive,Yes
309,Twitter,video,12/24/2023 7:45,698,102,152,Sunday,neutral,No
310,Instagram,image,7/1/2023 14:45,4694,220,273,Saturday,positive,Yes
311,Instagram,carousel,7/12/2023 17:45,408,352,988,Wednesday,positive,Yes
312,Facebook,text,5/3/2023 12:30,3210,280,129,Wednesday,positive,Yes
313,Twitter,image,7/14/2023 15:00,570,139,455,Friday,positive,Yes
314,Facebook,carousel,1/27/2023 15:45,4139,279,849,Friday,negative,No
315,Facebook,video,12/27/2023 4:00,1790,136,742,Wednesday,neutral,No
316,Twitter,image,7/14/2023 15:00,1264,98,157,Friday,positive,No
317,Twitter,video,6/15/2023 3:15,319,80,11,Thursday,positive,Yes
318,Facebook,video,1/1/2023 6:00,3859,466,1023,Sunday,neutral,Yes
319,Facebook,carousel,5/14/2023 0:45,3378,431,767,Sunday,neutral,Yes
320,Instagram,poll,2/21/2023 16:15,5118,358,577,Tuesday,negative,Yes
321,Instagram,image,3/13/2023 23:15,3202,115,222,Monday,negative,Yes
322,Facebook,video,1/4/2023 18:30,1394,68,596,Wednesday,neutral,No
323,Twitter,video,12/24/2023 7:45,990,118,186,Sunday,neutral,No
324,Facebook,carousel,5/14/2023 0:45,3742,457,817,Sunday,neutral,Yes
325,Facebook,carousel,5/14/2023 0:45,3877,468,723,Sunday,neutral,No
326,Facebook,video,2/23/2023 17:15,1625,178,391,Thursday,positive,No
327,Instagram,image,1/21/2023 1:00,4557,281,747,Saturday,negative,Yes
328,Instagram,text,5/23/2023 22:30,913,91,316,Tuesday,neutral,Yes
329,Instagram,carousel,7/12/2023 17:45,324,343,972,Wednesday,positive,Yes
330,Twitter,video,10/27/2023 23:45,1130,122,484,Friday,neutral,Yes
331,Facebook,image,8/17/2023 14:45,2316,412,633,Thursday,positive,Yes
332,Twitter,text,11/20/2023 2:00,1587,132,69,Monday,positive,No
333,Facebook,carousel,5/14/2023 0:45,4743,385,663,Sunday,neutral,Yes
334,Twitter,video,11/12/2023 17:30,1689,18,43,Sunday,positive,Yes
335,Instagram,text,7/6/2023 8:00,3590,49,132,Thursday,negative,Yes
336,Instagram,poll,3/19/2023 4:00,3063,115,262,Sunday,negative,Yes
337,Instagram,image,7/1/2023 14:45,4274,197,243,Saturday,positive,No
338,Facebook,text,6/12/2023 9:30,3176,104,989,Monday,negative,No
339,Instagram,image,7/1/2023 14:45,5439,169,199,Saturday,positive,Yes
340,Instagram,video,12/28/2023 16:45,408,489,686,Thursday,negative,Yes
341,Twitter,carousel,10/2/2023 23:30,578,13,481,Monday,neutral,Yes
342,Facebook,video,7/26/2023 20:15,5713,489,333,Wednesday,positive,Yes
343,Instagram,image,3/13/2023 23:15,3253,201,233,Monday,negative,Yes
344,Instagram,poll,7/5/2023 5:15,3121,54,799,Wednesday,positive,Yes
345,Twitter,poll,5/2/2023 0:30,2892,199,435,Tuesday,positive,Yes
346,Instagram,carousel,1/1/2023 20:00,4903,105,320,Sunday,positive,Yes
347,Twitter,image,10/14/2023 18:45,338,89,182,Saturday,neutral,Yes
348,Twitter,text,8/5/2023 8:45,552,199,43,Saturday,positive,Yes
349,Facebook,text,6/12/2023 9:30,2897,129,867,Monday,negative,Yes
350,Twitter,text,11/25/2023 7:30,2815,128,308,Saturday,positive,Yes
351,Twitter,text,12/8/2023 2:15,1178,94,22,Friday,negative,Yes
352,Twitter,image,2/10/2023 13:00,2017,151,14,Friday,neutral,No
353,Twitter,video,10/27/2023 23:45,433,155,450,Friday,neutral,No
354,Facebook,text,7/18/2023 22:00,2779,33,881,Tuesday,positive,Yes
355,Twitter,video,12/24/2023 7:45,55,73,230,Sunday,neutral,Yes
